CN_BLLING_PARTY_CODE,PARTY_NAME,CN_CN_NO,BKG_Date,BKG_Zone,BKG_State,BKG_Branch,CN_SOURCE_BRANCH_CODE,DLY_Zone,DLY_State,DLY_Branch_Name,DLY_Code,Consignor_Code,CNR_NAME,CEE_NAME,CONSIGNEE_CODE,EDD_Date,Reached At Destination,Out For Delivery Date,DLY_Date,MIN_POD_OR_DDR_DATE,No_of_Pkg,Actual_Wt,Charged_Wt,TPTR_Mode,DEL_POINT,FRIGHT_MODE,LOAD_TYPE,Freight Amount,ODA_FLAG,Appointment_Flag,Appointment_Date,MNTH,ONTIME_ARVL,DLVD_WITHOUT_TOKEN,CN_Current_Status,NDR_Remark,DELIVERY_STATUS,TAT_MISSING,BUSINESS_TYPE,TAT_DAYS,RETAIL_TAT_DAYS,OPS_TAT,KOM_NAME,KOM_ID,EDD_Diff_Day,CN_CURRENT_BRANCH,CN_CURRENT_BRANCH_NAME,NO_OF_ATTEMPTS,PICKUP_CHLN_DATE,DELEVERY_TYPE,BILL_DATE
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,RAJASTHAN,JAIPUR-RAJASTHAN,1701,111298,REDTAPE LTD,REDTAPE LIMITED - VIDYADHAR NAGAR,124967,"9/11/2025, 12:00 AM","6/11/2025, 11:37 PM","8/11/2025, 2:33 PM","8/11/2025, 12:00 AM","11/11/2025, 12:00 AM",2,20,20,SURFACE,DOOR,TBB(T.P),PART-LOAD,448.32,N,N,,Nov,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1701,JAIPUR-RAJASTHAN,0,"4/11/2025, 8:51 PM",,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,RAJASTHAN,SHRI GANGANAGAR RAJASTHAN,1715,111298,REDTAPE LTD,REDTAPE LTD,221091,"9/11/2025, 12:00 AM","8/11/2025, 7:07 PM","9/11/2025, 5:24 PM","9/11/2025, 12:00 AM","12/11/2025, 12:00 AM",2,20,20,SURFACE,DOOR,TBB(T.P),PART-LOAD,443.5,N,N,,Nov,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1715,SHRI GANGANAGAR RAJASTHAN,0,"4/11/2025, 8:51 PM",,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,RAJASTHAN,JAIPUR-RAJASTHAN,1701,111298,REDTAPE LTD,REDTAPE LIMITED,106804,"9/11/2025, 12:00 AM","6/11/2025, 11:37 PM","8/11/2025, 9:30 AM","8/11/2025, 12:00 AM","10/11/2025, 12:00 AM",4,40,40,SURFACE,DOOR,TBB(T.P),PART-LOAD,1393.39,N,N,,Nov,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1701,JAIPUR-RAJASTHAN,0,"4/11/2025, 8:51 PM",,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-I,RAJASTHAN,KESHWANA RAJASTHAN,1721,111298,REDTAPE LTD,REDTAPE LIMITED,106809,"9/11/2025, 12:00 AM","6/11/2025, 3:27 PM","7/11/2025, 11:36 AM","7/11/2025, 12:00 AM","8/11/2025, 12:00 AM",3,30,30,SURFACE,DOOR,TBB(T.P),PART-LOAD,544.23,N,N,,Nov,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1721,KESHWANA RAJASTHAN,0,"4/11/2025, 8:51 PM",,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,RAJASTHAN,JODHPUR-RAJASTHAN,1709,111298,REDTAPE LTD,REDTAPE LTD,301713,"9/11/2025, 12:00 AM","8/11/2025, 12:14 PM","11/11/2025, 10:26 PM","11/11/2025, 12:00 AM","13/11/2025, 12:00 AM",2,20,20,SURFACE,DOOR,TBB(T.P),PART-LOAD,1195.92,N,N,,Nov,Y,N,Delivered,ODA Delivery,LATE DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1709,JODHPUR-RAJASTHAN,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,RAJASTHAN,JODHPUR-RAJASTHAN,1709,111298,REDTAPE LTD,REDTAPE LIMITED,418200,"9/11/2025, 12:00 AM","8/11/2025, 12:14 PM","9/11/2025, 11:42 AM","9/11/2025, 12:00 AM","11/11/2025, 12:00 AM",2,20,20,SURFACE,DOOR,TBB(T.P),PART-LOAD,1197.45,N,N,,Nov,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1709,JODHPUR-RAJASTHAN,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,UTTAR PRADESH,MATHURA UP,2220,111298,REDTAPE LTD,REDTAPE LIMITED ,304848,"9/11/2025, 12:00 AM","8/11/2025, 8:07 PM","10/11/2025, 10:23 AM","10/11/2025, 12:00 AM","12/11/2025, 12:00 AM",3,30,30,SURFACE,DOOR,TBB(T.P),PART-LOAD,1293.42,N,N,,Nov,Y,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,2220,MATHURA UP,0,"4/11/2025, 8:51 PM",,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-I,RAJASTHAN,KESHWANA RAJASTHAN,1721,111298,REDTAPE LTD,REDTAPE LIMITED ,27690,"9/11/2025, 12:00 AM","6/11/2025, 11:37 PM","10/11/2025, 12:48 PM","10/11/2025, 12:00 AM","15/11/2025, 12:00 AM",3,30,30,SURFACE,DOOR,TBB(T.P),PART-LOAD,542.61,N,N,,Nov,Y,N,Delivered,ODA issue,LATE DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1721,KESHWANA RAJASTHAN,0,"4/11/2025, 8:51 PM",,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,RAJASTHAN,SIKAR- RAJASTHAN,1719,111298,REDTAPE LTD,REDTAPE LIMITED-CHIRAWA,678842,"9/11/2025, 12:00 AM","8/11/2025, 9:17 PM","14/11/2025, 10:43 AM","14/11/2025, 12:00 AM","15/11/2025, 12:00 AM",2,20,20,SURFACE,DOOR,TBB(T.P),PART-LOAD,1197.45,N,N,,Nov,Y,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1721,KESHWANA RAJASTHAN,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,SOUTH-I,TELANGANA,BOWENPALLY - TELANGANA,1629,111298,REDTAPE LTD,REDTAPE LIMITED DILSUKHNAGAR ,839175,"10/11/2025, 12:00 AM","10/11/2025, 10:19 AM","10/11/2025, 7:12 PM","10/11/2025, 12:00 AM","13/11/2025, 12:00 AM",5,50,50,SURFACE,DOOR,TBB(T.P),PART-LOAD,974.13,N,N,,Nov,N,N,Delivered,Contact No Issue,ON TIME DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,49,1611,CHERLAPALLY-TELANGANA,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
